N,id_TT,name_TT,address,latitude,longitude,region_tt
1004,11271,1004М_Менжинского23,"Москва ул. Менжинского, 23",55.869849,37.660314,Москва
1011,11281,1011М_Лестева21,Москва ул.Лестева 21/61,55.714414,37.608526,Москва
1013,11283,1013М_МалГрузинская12,Москва Малая Грузинская 12,55.763797,37.572064,Москва
1019,11289,1019М_Гарибальди23,Москва ул.Гарибальди д.23,55.671498,37.553792,Москва
1020,11290,1020М_Истринская10,Москва ул. Истринская д.10 к.1,55.737010,37.435178,Москва
1026,11296,1026М_Ленинский87,Москва ул. Ленинский проспект 87,55.679428,37.533885,Москва
1031,11301,1031М_Хорошевское68,Москва Хорошевское ш.68,55.778056,37.526483,Москва
1032,11302,1032М_Туристская13,Москва ул.Туристская 13 корп.2,55.849650,37.422225,Москва
1033,11303,1033М_Гризодубовой4,"Москва ул.Гризодубовой, д.4 корп.3",55.784622,37.523177,Москва
1038,11308,1038М_Вишневая2,Москва ул. Вишневая 2/14,55.827257,37.446794,Москва
1039,11309,1039М_Новопеределкинская9,"Москва ул. Новопеределкинская, д. 9а",55.640309,37.366071,Москва
1042,11312,1042Ш_87кмМКАД8,"Москва МКАД 87 км, д. 8, ТЦ Час-Пик",55.898218,37.629874,Москва
1058,11328,1058М_ЗемлянойВал38,"Москва ул. Земляной Вал, д. 38-40/15, стр.9",55.755110,37.656523,Москва
1067,11337,1067М_Тимирязевская19,"Москва Тимирязевская, 19",55.812884,37.566359,Москва
1069,11339,1069М_Южнобутовская113,Москва ул. Южнобутовская д. 113,55.533674,37.517725,Москва
1077,11347,1077М_Карбышева13,"Москва б-р Генерала Карбышева, д. 13, корп. 1",55.781226,37.469602,Москва
1078,11348,1078М_Каширское53,Москва Каширское шоссе 53 к4,55.639344,37.693597,Москва
1082,11352,1082Ш_Зел_корпус234А,Зеленоград корпус 234А,56.002979,37.205776,Москва
1087,11357,1087М_Грекова22,"Москва ул. Грекова, д. 22",55.892006,37.662856,Москва
1089,11359,1089М_МарииУльяновой9,"Москва ул. Марии Ульяновой, д. 9, к. 4",55.680001,37.525432,Москва
1108,11380,1108Ш_Мытная52,Москва ул. Мытная д.52,55.717087,37.618785,Москва
1113,11385,1113М_ЛётчикаУльянина4,"Москва ул. Лётчика Ульянина, д. 4",55.624967,37.306540,Москва
1115,11387,"1115М_Коммунарка_Лазурная,д.3","Москва поселение Коммунарка, ул. Лазурная, д. 3",55.568436,37.473231,Москва
1114,11388,1114М_Воронцовская46,Москва ул Воронцовская д. 46,55.732965,37.663099,Москва
1122,11394,1122М_9Парковая59,"Москва ул. 9-я Парковая, д. 59, корп. 2",55.808063,37.797945,Москва
1126,11398,1126М_Каргопольская18,"Москва ул. Каргопольская, дом 18, стр. 1",55.864480,37.593938,Москва
1132,11404,1132Ш_Зел_корпус834А,Зеленоград корпус 834 А,55.979918,37.176203,Москва
1141,11413,1141М_Сев_Чертаново1,"Москва мкр. Северное Чертаново, д.1А",55.637393,37.600388,Москва
1148,11420,1148М_Багрицкого3,"Москва ул. Багрицкого, д. 3, к. 1",55.723967,37.437173,Москва
1149,11421,1149М_Ярославская11,"Москва ул. Ярославская, д. 11, к. 2",55.818154,37.646651,Москва
1150,11422,1150М_Азовская24,"Москва ул. Азовская, д. 24, корп. 2",55.651672,37.596910,Москва
1156,11428,1156М_Чонгарский10,"Москва Чонгарский бульвар, д.10, к.1",55.653660,37.614365,Москва
1157,11429,1157Ш_Митинская25,Москва ул. Митинская д.25,55.844430,37.362855,Москва
1160,11434,1160Ш_Чертановская32,"Москва ул. Чертановская, д. 32, стр. 1",55.618623,37.591620,Москва
1164,11438,1164М_1Новокузьминская18,"Москва ул. Новокузьминская 1-я, д. 18",55.713953,37.790965,Москва
1165,11439,1165М_Яблочкова37,Москва ул. Яблочкова  дом 37,55.826883,37.578819,Москва
1166,11440,1166М_Каширское40,Москва Каширское шоссе 40к2,55.648946,37.661725,Москва
1181,11456,1181Ш_Флотская46,"Москва ул. Флотская, д. 46",55.853142,37.501142,Москва
1182,11457,1182Ш_Алтуфьевское93,"Москва Алтуфьевское ш.,  д. 93",55.900193,37.585808,Москва
1183,11458,1183М_Студенческая20,Москва ул. Студенческая д.20,55.743335,37.549983,Москва
1185,11460,1185М_Нагорная30,Москва ул. Нагорная 30к1,55.675514,37.597288,Москва
1196,11471,1196М_Ботаническая19,Москва Ботаническая 19,55.828101,37.601088,Москва
1206,11481,1206М_Хабаровская8,Москва ул. Хабаровская д. 8,55.818882,37.827706,Москва
1217,11492,1217М_Ходынский4,"Москва Ходынский бульвар, д.4",55.789571,37.532780,Москва
1219,11494,1219М_Молостовых14,Москва Молостовых 14к1,55.754355,37.831362,Москва
1229,11504,1229М_ГероевПанфиловцев16,Москва Героев Панфиловцев 16к1,55.858830,37.423800,Москва
1235,11510,1235М_Зеленодольская25,"Москва ул. Зеленодольская, вл. 25",55.709850,37.769504,Москва
1237,11512,1237М_Лескова2,Москва ул. Лескова 2,55.897700,37.590255,Москва
1243,11518,1243М_Первомайская46,Москва ул. Первомайская д. 46,55.792857,37.789636,Москва
1244,11519,1244Ш_Чонгарский19,"Москва Чонгарский бульвар, д. 19",55.652796,37.606703,Москва
1245,11520,1245М_АлександрНев1,"Москва ул.Александра Невского, д.1",55.774807,37.592831,Москва
1248,11523,1248М_ЮныхЛенинцев89,Москва ул. Юных Ленинцев д. 89 к.1,55.699279,37.774912,Москва
1252,11527,1252М_Паустовского8,"Москва ул. Паустовского, д.8 к.1",55.599036,37.538269,Москва
1256,11531,1256Ш_Белореченская36,Москва ул. Белореченская 36 к 3,55.661034,37.776071,Москва
1257,11532,1257М_Октябрьская33,Москва ул. Октябрьская 33,55.788981,37.613135,Москва
1258,11533,1258М_Халтуринская17,Москва ул. Халтуринская д.17,55.803388,37.724391,Москва
1260,11536,1260М_Вешняковская29,Москва ул.Вешняковская д 29,55.724038,37.827922,Москва
1261,11537,1261Ш_Дубнинская10к4,"Москва ул.Дубнинская  дом № 10, корпус 4, помещение 1В",55.864050,37.572064,Москва
1262,11539,1262М_пгт_Московский3-9,"Москва пос.гор.типа Московский, 3 мкр, д.9",55.595857,37.344664,Москва
1263,11540,1263М_Газопровод1,"Москва ул. Газопровод, д.1, корп. 6 А",55.594280,37.604286,Москва
1266,11543,1266М_Криворожская27,"Москва ул. Криворожская, д. 27",55.669493,37.609766,Москва
1268,11545,1268М_Совхозная41,"Москва Совхозная, д.41",55.674575,37.760225,Москва
1269,11546,1269М_Домодедовская44,Москва ул. Домодедовская 44,55.601427,37.714599,Москва
1280,11557,1280М_Бакунинская38,"Москва ул. Бакунинская ул.,38-42 с1",55.775915,37.686877,Москва
1289,11566,1289М_Планерная14к1,"Москва ул.Планерная, д.14 к.1",55.864111,37.436849,Москва
1291,11568,1291М_Волоколамское14,Москва Волоколамское шоссе 14,55.809565,37.493991,Москва
1304,11583,1304М_СМаршака16,"Москва п.Внуковское,ул.Самуила Маршака, д.16",55.638247,37.326896,Москва
1305,11584,1305М_Красногомаяка2,"Москва улица Красного Маяка, 2",55.611836,37.601807,Москва
1311,11590,1311М_ПроспектБуденного24,Москва ул. Проспект Буденного 24 к 1,55.765169,37.731811,Москва
1312,11591,1312М_АКоролева5,Москва ул. Академика Королева 5,55.820885,37.628316,Москва
1313,11592,1313М_Дегунинская17,Москва Дегунинская 17,55.867147,37.530885,Москва
1314,11593,1314М_Бутырская95,Москва Бутырская 95,55.807267,37.580735,Москва
1320,11600,1320М_Абрамцевская3,Москва ул. Абрамцевская 3,55.894879,37.573052,Москва
1321,11601,1321М_МаршалаЖукова52,Москва пр-т Маршала Жукова 52,55.777748,37.464257,Москва
1322,11602,1322М_ЗелПроспект60,Москва Зеленый проспект д.60А,55.750940,37.817681,Москва
1323,11603,1323М_Ленинградский54,Москва Ленинградский проспект 54/1,55.797883,37.539509,Москва
1327,11607,1327М_Шверника13,Москва Шверника ул.13А,55.691851,37.588314,Москва
1328,11608,1328М_Олимпийский30,Москва Олимпийский проспект 30с1,55.791486,37.622810,Москва
1329,11609,1329М_Фестивальная13,Москва ул. Фестивальная 13 к.1,55.855780,37.477381,Москва
1330,11610,1330М_Коштоянца15,Москва ул. Коштоянца 15,55.678409,37.491407,Москва
1332,11613,1332М_Рогожский5с9,Москва Рогожский вал д5с9,55.744277,37.678730,Москва
1335,11616,1335М_Хачатуряна18,Москва ул. Хачатуряна 18а,55.861292,37.603729,Москва
1337,11618,1337М_Оболенский9,"Москва г. Москва, Оболенский пер., д.9, корп.1",55.730360,37.579250,Москва
1339,11620,1339М_БКаменщики6,Москва ул. Большие Каменщики 6 стр 1,55.736093,37.655032,Москва
1341,11622,1341М_Краснобогатырская29,Москва Краснобогатырская 29,55.810425,37.704799,Москва
1342,11623,1342М_ВерхМасловка21,"Москва ул. Верхняя Масловка, д.21",55.795702,37.560134,Москва
1343,11624,1343М_Лихоборские6,"Москва ул. Лихоборские бугры, д.6",55.842433,37.548249,Москва
1349,11630,1349М_Чапаевский10,Москва Чапаевский переулок 10\2,55.800200,37.519081,Москва
